,model_name,r2,mea,rmse
0,bigram,-0.9744179411742024,266826.20357717306,5270339.925670505
1,t5_title_embedding,-0.21718031597137233,160027.39215095073,3311473.4168855073
2,paraphrase_title_embedding,-1.2598989937120404,283426.49106993794,7207586.177103016
3,t5_total_embedding,-0.2092403020464293,530617.6402222485,12414734.15046402
4,smoothed_unigram,-0.5087357790708364,397524.5433337937,9719562.720265765
5,paraphrase_total_embedding,-2.8750355325730337,355010.32770593767,9126607.59333317
6,unigram,-0.8530600692148591,351909.8067772049,7830285.784555149
7,tfidf,-0.2817109251477259,279842.2828122471,7571658.700404236
